399, Bevvy, Linder ,Suspended, Female, 1-1-25
529, Aldon, Hughf ,Suspended, Male, 1-11-24
568, Bobine, Keepin ,Suspended, Female, 1-11-32
158, Gavin, Hirth ,Suspended, Male, 1-2-29
406, Arnie, Avory ,Suspended, Male, 1-2-9
769, Maisie, McGilbon ,Suspended, Female, 1-9-12
829, Franny, Clue ,Suspended, Female, 1-9-32
901, Lance, Keers ,Suspended, Male, 1-9-32
918, Sheila, Glading ,Suspended, Female, 1-9-32
624, Granger, McPake ,Suspended, Male, 2-1-10
30, Joete, Wallace ,Suspended, Female, 2-1-11
59, Chicky, Goodoune ,Suspended, Male, 2-1-18
230, Felicdad, Norcock ,Suspended, Female, 2-1-31
509, Alberto, Dmisek ,Suspended, Male, 2-10-16
148, Chrissy, Leigh ,Suspended, Female, 2-10-32
231, Alisander, Sandell ,Suspended, Male, 2-11-15
152, Devland, Edington ,Suspended, Male, 2-11-23
226, Kare, Dumper ,Suspended, Female, 2-11-26
89, Minta, Stitt ,Suspended, Female, 2-12-8
622, Dion, Dusting ,Suspended, Female, 2-2-16
231, Orlan, Prosser ,Suspended, Male, 2-2-26
557, Jdavie, Hegarty ,Suspended, Male, 2-9-18
336, Anica, Edkins ,Suspended, Female, 2-9-23
767, Korey, Stritton ,Suspended, Male, 2-9-25
952, Kurtis, Clynter ,Suspended, Male, 2-9-26
405, Chloe, Frantzen ,Suspended, Female, 2-9-31
550, Danna, Burgot ,Suspended, Female, 2-9-34
345, Humbert, Ferson ,Suspended, Male, 2-9-9
45, Flory, Lago ,Suspended, Female, 3-10-21
328, Stacey, Rusk ,Suspended, Female, 3-10-35
867, Farleigh, McCarly ,Suspended, Male, 3-10-35
683, Marketa, Crayden ,Suspended, Female, 3-12-11
396, Constancy, Konmann ,Suspended, Female, 3-12-22
691, Helene, Guyers ,Suspended, Female, 3-12-26
692, Sutton, Doole ,Suspended, Male, 3-4-20
633, Gillan, Choak ,Suspended, Female, 3-4-32
361, Lucio, Gunda ,Suspended, Male, 3-4-36
