41, Silvana, Cotter ,Blocked, Female, 1-1-17
714, Ricard, Wickham ,Blocked, Male, 1-1-25
449, Billi, Frichley ,Blocked, Female, 1-11-16
534, Cole, Slay ,Blocked, Male, 1-11-28
55, Emelyne, Bardey ,Blocked, Female, 1-2-25
408, Darci, Bagguley ,Blocked, Female, 1-9-16
731, Judon, Dudgeon ,Blocked, Male, 1-9-20
696, Krissie, Doogue ,Blocked, Female, 1-9-32
412, Johnnie, Clamp ,Blocked, Male, 2-1-20
624, Jerrylee, Shippam ,Blocked, Female, 2-1-23
337, Brett, Szreter ,Blocked, Male, 2-10-20
784, Guinevere, Labrone ,Blocked, Female, 2-11-10
239, Kale, Tumbridge ,Blocked, Male, 2-11-19
441, Cissy, Sweetman ,Blocked, Female, 2-2-14
313, Davina, Jikylls ,Blocked, Female, 2-2-16
388, Nertie, Lamkin ,Blocked, Female, 2-2-22
105, Valentino, Stace ,Blocked, Male, 2-2-31
240, Ursa, Weinberg ,Blocked, Female, 2-9-11
4, Kile, Luetkemeyers ,Blocked, Male, 2-9-31
791, Normie, Tremaine ,Blocked, Male, 2-9-31
119, Carson, Halksworth ,Blocked, Male, 2-9-6
77, Evangelia, Records ,Blocked, Female, 3-10-10
303, Carlita, Ranking ,Blocked, Female, 3-10-17
576, Zak, Golightly ,Blocked, Male, 3-10-19
160, Forrest, O' Concannon ,Blocked, Male, 3-10-21
437, Lalo, Probey ,Blocked, Male, 3-10-33
218, Arty, Yorkston ,Blocked, Male, 3-12-11
404, Vincenz, Gunton ,Blocked, Male, 3-12-21
146, Ernesto, Abramowsky ,Blocked, Male, 3-12-33
14, Celle, Wharton ,Blocked, Female, 3-4-33
706, Griff, Salterne ,Blocked, Male, 3-6-36
26, Dannel, Kiffin ,Blocked, Male, 3-6-36
478, Edd, Burnard ,Blocked, Male, 4-3-16
389, Brier, Faint ,Blocked, Female, 4-3-20
108, Jessamyn, Goble ,Blocked, Female, 4-4-14
171, Ramsey, Brouard ,Blocked, Male, 4-4-22
339, Garvy, Doutch ,Blocked, Male, 4-4-31
722, Modesty, Novis ,Blocked, Female, 4-4-34
700, Olag, Becks ,Blocked, Male, 4-4-35
272, Cecil, Fellon ,Blocked, Male, 4-6-11
689, Lowe, Mulran ,Blocked, Male, 4-6-23
601, Gerrard, Leebeter ,Blocked, Male, 4-6-26
352, Zora, McGowan ,Blocked, Female, 4-6-30
187, Barton, Cumberledge ,Blocked, Male, 4-6-34
536, Essa, Broom ,Blocked, Female, 4-7-13
240, Giorgio, Duckhouse ,Blocked, Male, 4-7-36
358, Zonnya, Postles ,Blocked, Female, 4-8-17
412, Nertie, Attwater ,Blocked, Female, 4-8-24
551, Dennet, Routham ,Blocked, Male, 5-3-15
134, Flor, Fouracres ,Blocked, Female, 5-3-30
5, Aundrea, Longforth ,Blocked, Female, 5-3-31
657, Flint, Brighty ,Blocked, Male, 5-3-7
410, Alva, Fleetham ,Blocked, Male, 5-5-15
333, Nicolina, Jopling ,Blocked, Female, 5-5-34
474, Lesley, MacDaid ,Blocked, Male, 5-7-11
813, Sherri, Reucastle ,Blocked, Female, 5-7-27
269, Des, Beesey ,Blocked, Male, 5-7-34
728, Dionisio, Covelle ,Blocked, Male, 5-8-11
71, Hettie, Punton ,Blocked, Female, 5-8-19
61, Irvin, Easterling ,Blocked, Male, 5-8-27
162, De witt, Grubbe ,Blocked, Male, 5-8-31
133, Reeba, Facey ,Blocked, Female, 5-8-6
18, Quintus, Bolsteridge ,Blocked, Male, 5-8-7
41, Silvana, Cotter ,Blocked, Female, 1-1-17
714, Ricard, Wickham ,Blocked, Male, 1-1-25
449, Billi, Frichley ,Blocked, Female, 1-11-16
534, Cole, Slay ,Blocked, Male, 1-11-28
55, Emelyne, Bardey ,Blocked, Female, 1-2-25
408, Darci, Bagguley ,Blocked, Female, 1-9-16
731, Judon, Dudgeon ,Blocked, Male, 1-9-20
696, Krissie, Doogue ,Blocked, Female, 1-9-32
412, Johnnie, Clamp ,Blocked, Male, 2-1-20
624, Jerrylee, Shippam ,Blocked, Female, 2-1-23
337, Brett, Szreter ,Blocked, Male, 2-10-20
784, Guinevere, Labrone ,Blocked, Female, 2-11-10
239, Kale, Tumbridge ,Blocked, Male, 2-11-19
441, Cissy, Sweetman ,Blocked, Female, 2-2-14
313, Davina, Jikylls ,Blocked, Female, 2-2-16
388, Nertie, Lamkin ,Blocked, Female, 2-2-22
105, Valentino, Stace ,Blocked, Male, 2-2-31
240, Ursa, Weinberg ,Blocked, Female, 2-9-11
4, Kile, Luetkemeyers ,Blocked, Male, 2-9-31
791, Normie, Tremaine ,Blocked, Male, 2-9-31
119, Carson, Halksworth ,Blocked, Male, 2-9-6
77, Evangelia, Records ,Blocked, Female, 3-10-10
303, Carlita, Ranking ,Blocked, Female, 3-10-17
576, Zak, Golightly ,Blocked, Male, 3-10-19
160, Forrest, O' Concannon ,Blocked, Male, 3-10-21
437, Lalo, Probey ,Blocked, Male, 3-10-33
218, Arty, Yorkston ,Blocked, Male, 3-12-11
404, Vincenz, Gunton ,Blocked, Male, 3-12-21
146, Ernesto, Abramowsky ,Blocked, Male, 3-12-33
14, Celle, Wharton ,Blocked, Female, 3-4-33
706, Griff, Salterne ,Blocked, Male, 3-6-36
26, Dannel, Kiffin ,Blocked, Male, 3-6-36
478, Edd, Burnard ,Blocked, Male, 4-3-16
389, Brier, Faint ,Blocked, Female, 4-3-20
108, Jessamyn, Goble ,Blocked, Female, 4-4-14
171, Ramsey, Brouard ,Blocked, Male, 4-4-22
339, Garvy, Doutch ,Blocked, Male, 4-4-31
722, Modesty, Novis ,Blocked, Female, 4-4-34
700, Olag, Becks ,Blocked, Male, 4-4-35
272, Cecil, Fellon ,Blocked, Male, 4-6-11
689, Lowe, Mulran ,Blocked, Male, 4-6-23
601, Gerrard, Leebeter ,Blocked, Male, 4-6-26
352, Zora, McGowan ,Blocked, Female, 4-6-30
187, Barton, Cumberledge ,Blocked, Male, 4-6-34
536, Essa, Broom ,Blocked, Female, 4-7-13
240, Giorgio, Duckhouse ,Blocked, Male, 4-7-36
358, Zonnya, Postles ,Blocked, Female, 4-8-17
412, Nertie, Attwater ,Blocked, Female, 4-8-24
551, Dennet, Routham ,Blocked, Male, 5-3-15
134, Flor, Fouracres ,Blocked, Female, 5-3-30
5, Aundrea, Longforth ,Blocked, Female, 5-3-31
657, Flint, Brighty ,Blocked, Male, 5-3-7
410, Alva, Fleetham ,Blocked, Male, 5-5-15
333, Nicolina, Jopling ,Blocked, Female, 5-5-34
474, Lesley, MacDaid ,Blocked, Male, 5-7-11
813, Sherri, Reucastle ,Blocked, Female, 5-7-27
269, Des, Beesey ,Blocked, Male, 5-7-34
728, Dionisio, Covelle ,Blocked, Male, 5-8-11
71, Hettie, Punton ,Blocked, Female, 5-8-19
61, Irvin, Easterling ,Blocked, Male, 5-8-27
162, De witt, Grubbe ,Blocked, Male, 5-8-31
133, Reeba, Facey ,Blocked, Female, 5-8-6
18, Quintus, Bolsteridge ,Blocked, Male, 5-8-7
41, Silvana, Cotter ,Blocked, Female, 1-1-17
714, Ricard, Wickham ,Blocked, Male, 1-1-25
449, Billi, Frichley ,Blocked, Female, 1-11-16
534, Cole, Slay ,Blocked, Male, 1-11-28
55, Emelyne, Bardey ,Blocked, Female, 1-2-25
408, Darci, Bagguley ,Blocked, Female, 1-9-16
731, Judon, Dudgeon ,Blocked, Male, 1-9-20
696, Krissie, Doogue ,Blocked, Female, 1-9-32
412, Johnnie, Clamp ,Blocked, Male, 2-1-20
624, Jerrylee, Shippam ,Blocked, Female, 2-1-23
337, Brett, Szreter ,Blocked, Male, 2-10-20
784, Guinevere, Labrone ,Blocked, Female, 2-11-10
239, Kale, Tumbridge ,Blocked, Male, 2-11-19
441, Cissy, Sweetman ,Blocked, Female, 2-2-14
313, Davina, Jikylls ,Blocked, Female, 2-2-16
388, Nertie, Lamkin ,Blocked, Female, 2-2-22
105, Valentino, Stace ,Blocked, Male, 2-2-31
240, Ursa, Weinberg ,Blocked, Female, 2-9-11
4, Kile, Luetkemeyers ,Blocked, Male, 2-9-31
791, Normie, Tremaine ,Blocked, Male, 2-9-31
119, Carson, Halksworth ,Blocked, Male, 2-9-6
77, Evangelia, Records ,Blocked, Female, 3-10-10
303, Carlita, Ranking ,Blocked, Female, 3-10-17
576, Zak, Golightly ,Blocked, Male, 3-10-19
160, Forrest, O' Concannon ,Blocked, Male, 3-10-21
437, Lalo, Probey ,Blocked, Male, 3-10-33
218, Arty, Yorkston ,Blocked, Male, 3-12-11
