659, Kacy, Seeler ,Blocked, Female, 1-10-15
948, Bernie, Sedwick ,Blocked, Female, 1-10-23
91, Gabi, Jose ,Blocked, Male, 1-10-34
108, Maureen, Fogg ,Blocked, Female, 1-10-34
894, Benyamin, Lewinton ,Blocked, Male, 1-10-6
378, Ciel, Rickerby ,Blocked, Female, 1-10-7
718, Thedrick, Molyneux ,Blocked, Male, 1-12-13
170, Lyda, MacDowal ,Blocked, Female, 1-12-15
364, Terrance, Pinnegar ,Blocked, Male, 1-12-19
200, Mitzi, Trevenu ,Blocked, Female, 1-12-23
427, Kimmi, Greger ,Blocked, Female, 1-12-7
824, Renard, Pitney ,Blocked, Male, 1-12-9
179, Alessandro, Sandham ,Blocked, Male, 1-4-12
333, Jamie, Leroux ,Blocked, Male, 1-4-20
663, Dianna, Durn ,Blocked, Female, 1-4-20
420, Worthy, Tole ,Blocked, Male, 1-4-9
716, Ola, Swinburne ,Blocked, Female, 2-3-32
64, Berkeley, Cropp ,Blocked, Male, 2-4-18
39, Silas, Dowtry ,Blocked, Male, 2-5-17
474, Alma, Jahan ,Blocked, Female, 2-6-15
507, Flor, Ryding ,Blocked, Female, 2-6-18
181, Leta, Duckhouse ,Blocked, Female, 2-7-13
774, Colan, Iacovazzi ,Blocked, Male, 2-7-21
675, Abbie, Niese ,Blocked, Female, 2-7-33
942, Kimmie, Binding ,Blocked, Female, 3-3-19
41, Gayleen, Budcock ,Blocked, Female, 3-3-31
78, Bayard, Vallender ,Blocked, Male, 3-5-11
506, Emmanuel, Rabl ,Blocked, Male, 3-5-18
39, Reuben, Threadgill ,Blocked, Male, 3-5-30
546, Chancey, Whiskerd ,Blocked, Male, 3-5-30
61, Daune, Durman ,Blocked, Female, 3-5-30
739, Martie, Buscher ,Blocked, Male, 3-5-35
452, Jory, Hellings ,Blocked, Male, 3-5-7
137, Franciska, Arnauduc ,Blocked, Female, 3-7-15
577, Augie, Eynald ,Blocked, Male, 3-7-26
778, Ricki, Caurah ,Blocked, Male, 3-8-18
227, Gerhard, Maybery ,Blocked, Male, 3-8-26
258, Sonny, Chiddy ,Blocked, Female, 3-8-26
602, Izzy, Pattesall ,Blocked, Male, 30-1-17
692, Florie, Balmann ,Blocked, Female, 30-10-36
542, Ora, Keam ,Blocked, Female, 30-11-16
438, Bobbi, Sewards ,Blocked, Female, 30-11-16
307, Guthrie, Fackrell ,Blocked, Male, 30-11-32
463, Calida, Sunley ,Blocked, Female, 30-11-32
311, Vail, Jados ,Blocked, Male, 30-12-16
289, Marilin, O'Caherny ,Blocked, Female, 30-12-24
537, Marcille, Skaif ,Blocked, Female, 30-12-28
591, Kristien, Speller ,Blocked, Female, 30-9-28
807, Horacio, Stallwood ,Blocked, Male, 31-1-10
241, Xenia, Hrinishin ,Blocked, Female, 31-1-12
33, Torry, Morl ,Blocked, Male, 31-1-19
197, Annecorinne, Henniger ,Blocked, Female, 31-1-23
121, Zerk, Withrington ,Blocked, Male, 31-1-28
348, Kort, Bauser ,Blocked, Male, 31-1-28
713, Parnell, Giblin ,Blocked, Male, 31-1-36
210, Alexandr, Partleton ,Blocked, Male, 31-10-17
873, Niel, Skechley ,Blocked, Male, 31-10-23
107, Adelind, Harmon ,Blocked, Female, 31-10-23
247, Lexine, Nix ,Blocked, Female, 31-10-25
420, Eba, Colbron ,Blocked, Female, 31-10-26
925, Puff, Kinchin ,Blocked, Male, 31-10-27
965, Mari, Glendza ,Blocked, Female, 31-10-7
265, Atlanta, Allchorn ,Blocked, Female, 31-10-9
409, Mari, Cowmeadow ,Blocked, Female, 31-12-13
579, Hobart, Woolward ,Blocked, Male, 31-12-15
741, Suki, Cleeton ,Blocked, Female, 31-12-22
322, Sybila, Stuttard ,Blocked, Female, 31-12-23
463, Jodee, Raubenheim ,Blocked, Female, 31-12-30
426, Myles, Feldmesser ,Blocked, Male, 31-8-22
492, Ferne, Cridlin ,Blocked, Female, 31-8-25
549, Brett, Eustace ,Blocked, Female, 31-8-30
659, Kacy, Seeler ,Blocked, Female, 1-10-15
948, Bernie, Sedwick ,Blocked, Female, 1-10-23
91, Gabi, Jose ,Blocked, Male, 1-10-34
108, Maureen, Fogg ,Blocked, Female, 1-10-34
894, Benyamin, Lewinton ,Blocked, Male, 1-10-6
378, Ciel, Rickerby ,Blocked, Female, 1-10-7
718, Thedrick, Molyneux ,Blocked, Male, 1-12-13
170, Lyda, MacDowal ,Blocked, Female, 1-12-15
364, Terrance, Pinnegar ,Blocked, Male, 1-12-19
200, Mitzi, Trevenu ,Blocked, Female, 1-12-23
427, Kimmi, Greger ,Blocked, Female, 1-12-7
824, Renard, Pitney ,Blocked, Male, 1-12-9
179, Alessandro, Sandham ,Blocked, Male, 1-4-12
333, Jamie, Leroux ,Blocked, Male, 1-4-20
663, Dianna, Durn ,Blocked, Female, 1-4-20
420, Worthy, Tole ,Blocked, Male, 1-4-9
716, Ola, Swinburne ,Blocked, Female, 2-3-32
64, Berkeley, Cropp ,Blocked, Male, 2-4-18
39, Silas, Dowtry ,Blocked, Male, 2-5-17
474, Alma, Jahan ,Blocked, Female, 2-6-15
507, Flor, Ryding ,Blocked, Female, 2-6-18
181, Leta, Duckhouse ,Blocked, Female, 2-7-13
774, Colan, Iacovazzi ,Blocked, Male, 2-7-21
675, Abbie, Niese ,Blocked, Female, 2-7-33
942, Kimmie, Binding ,Blocked, Female, 3-3-19
41, Gayleen, Budcock ,Blocked, Female, 3-3-31
78, Bayard, Vallender ,Blocked, Male, 3-5-11
506, Emmanuel, Rabl ,Blocked, Male, 3-5-18
39, Reuben, Threadgill ,Blocked, Male, 3-5-30
546, Chancey, Whiskerd ,Blocked, Male, 3-5-30
61, Daune, Durman ,Blocked, Female, 3-5-30
739, Martie, Buscher ,Blocked, Male, 3-5-35
452, Jory, Hellings ,Blocked, Male, 3-5-7
137, Franciska, Arnauduc ,Blocked, Female, 3-7-15
577, Augie, Eynald ,Blocked, Male, 3-7-26
778, Ricki, Caurah ,Blocked, Male, 3-8-18
227, Gerhard, Maybery ,Blocked, Male, 3-8-26
258, Sonny, Chiddy ,Blocked, Female, 3-8-26
602, Izzy, Pattesall ,Blocked, Male, 30-1-17
692, Florie, Balmann ,Blocked, Female, 30-10-36
542, Ora, Keam ,Blocked, Female, 30-11-16
438, Bobbi, Sewards ,Blocked, Female, 30-11-16
307, Guthrie, Fackrell ,Blocked, Male, 30-11-32
463, Calida, Sunley ,Blocked, Female, 30-11-32
311, Vail, Jados ,Blocked, Male, 30-12-16
289, Marilin, O'Caherny ,Blocked, Female, 30-12-24
537, Marcille, Skaif ,Blocked, Female, 30-12-28
591, Kristien, Speller ,Blocked, Female, 30-9-28
807, Horacio, Stallwood ,Blocked, Male, 31-1-10
241, Xenia, Hrinishin ,Blocked, Female, 31-1-12
33, Torry, Morl ,Blocked, Male, 31-1-19
197, Annecorinne, Henniger ,Blocked, Female, 31-1-23
121, Zerk, Withrington ,Blocked, Male, 31-1-28
348, Kort, Bauser ,Blocked, Male, 31-1-28
713, Parnell, Giblin ,Blocked, Male, 31-1-36
210, Alexandr, Partleton ,Blocked, Male, 31-10-17
873, Niel, Skechley ,Blocked, Male, 31-10-23
107, Adelind, Harmon ,Blocked, Female, 31-10-23
247, Lexine, Nix ,Blocked, Female, 31-10-25
420, Eba, Colbron ,Blocked, Female, 31-10-26
925, Puff, Kinchin ,Blocked, Male, 31-10-27
965, Mari, Glendza ,Blocked, Female, 31-10-7
265, Atlanta, Allchorn ,Blocked, Female, 31-10-9
409, Mari, Cowmeadow ,Blocked, Female, 31-12-13
579, Hobart, Woolward ,Blocked, Male, 31-12-15
741, Suki, Cleeton ,Blocked, Female, 31-12-22
322, Sybila, Stuttard ,Blocked, Female, 31-12-23
463, Jodee, Raubenheim ,Blocked, Female, 31-12-30
426, Myles, Feldmesser ,Blocked, Male, 31-8-22
492, Ferne, Cridlin ,Blocked, Female, 31-8-25
549, Brett, Eustace ,Blocked, Female, 31-8-30
659, Kacy, Seeler ,Blocked, Female, 1-10-15
948, Bernie, Sedwick ,Blocked, Female, 1-10-23
91, Gabi, Jose ,Blocked, Male, 1-10-34
108, Maureen, Fogg ,Blocked, Female, 1-10-34
894, Benyamin, Lewinton ,Blocked, Male, 1-10-6
378, Ciel, Rickerby ,Blocked, Female, 1-10-7
