678, Ertha, Hofner ,Active, Female, 1-10-13
667, Dalia, Iacoboni ,Active, Female, 1-10-14
106, Antoni, Patching ,Active, Male, 1-10-17
42, Marita, Munsey ,Active, Female, 1-10-18
458, Ikey, Deaton ,Active, Male, 1-10-21
288, Budd, Ghelardi ,Active, Male, 1-10-27
181, Lizabeth, Hugh ,Active, Female, 1-10-35
388, Curtice, Stut ,Active, Male, 1-10-9
595, Brigit, Torrese ,Active, Female, 1-12-10
587, Sofie, Allenby ,Active, Female, 1-12-33
386, Shirleen, Antoons ,Active, Female, 1-12-7
725, Otto, Whipple ,Active, Male, 1-4-17
306, Alard, Mallinar ,Active, Male, 1-6-17
145, Violante, McWaters ,Active, Female, 1-6-21
661, Merle, Boom ,Active, Male, 1-6-24
776, Alis, McAusland ,Active, Female, 1-6-24
65, Karita, Adney ,Active, Female, 1-6-32
325, Chancey, Jaskowicz ,Active, Male, 1-6-8
14, Helge, Deaville ,Active, Female, 1-6-8
598, Orlando, Walewicz ,Active, Male, 2-3-29
530, Hercules, Latchmore ,Active, Male, 2-3-36
299, Min, Stave ,Active, Female, 2-4-10
609, Veriee, Trustie ,Active, Female, 2-4-11
765, Fayette, Acutt ,Active, Female, 2-4-18
773, Elysee, Blyth ,Active, Female, 2-4-19
241, Billie, Lorrie ,Active, Male, 2-4-23
319, Che, Crasford ,Active, Male, 2-4-30
292, Lynde, Bezzant ,Active, Female, 2-6-22
605, Janina, Minall ,Active, Female, 2-6-22
998, Louella, Randell ,Active, Female, 2-6-26
26, Saxe, Tansly ,Active, Male, 2-6-31
434, Guido, Studdard ,Active, Male, 2-7-20
280, Tani, Hilliam ,Active, Female, 2-7-21
497, Stearne, Tenby ,Active, Male, 2-7-21
81, Jenn, Stolle ,Active, Female, 2-7-33
566, Hugh, Philippault ,Active, Male, 2-8-33
246, Yancey, Cockton ,Active, Male, 3-3-14
191, Sisely, Dullard ,Active, Female, 3-3-14
437, Chauncey, Jensen ,Active, Male, 3-3-26
896, Joseito, Shufflebotham ,Active, Male, 3-3-30
743, Farly, Spragg ,Active, Male, 3-3-31
988, Junie, Heistermann ,Active, Female, 3-3-7
251, Gianna, MattiCCI ,Active, Female, 3-5-26
66, Grant, Bettleson ,Active, Male, 3-5-7
195, Ichabod, Kidsley ,Active, Male, 3-7-34
17, Yolanda, Galletly ,Active, Female, 3-8-15
390, Sile, Humpatch ,Active, Female, 3-8-30
286, Lay, Dunbabin ,Active, Male, 30-1-17
455, Jorrie, Loughhead ,Active, Female, 30-1-21
63, Beverie, Dutch ,Active, Female, 30-1-25
936, Hyacinthia, Buzek ,Active, Female, 30-1-9
74, Chrystel, Krolak ,Active, Female, 30-10-24
528, Nat, Enticott ,Active, Male, 30-10-28
979, Powell, McMinn ,Active, Male, 30-10-28
436, Dorise, Roast ,Active, Female, 30-10-28
986, Wilek, Doneld ,Active, Male, 30-10-32
