424, Zollie, Narey ,Inactive, Male, 1-1-17
331, Randolph, Benduhn ,Inactive, Male, 1-1-9
354, Ainsley, Ackermann ,Inactive, Female, 1-11-32
799, Archibald, Carlet ,Inactive, Male, 1-11-8
617, Heath, Seckington ,Inactive, Female, 1-2-13
509, Demetre, Zaple ,Inactive, Male, 1-2-25
643, Wheeler, Martinet ,Inactive, Male, 1-2-25
280, Calley, Eustanch ,Inactive, Female, 2-1-10
548, Mia, Garraway ,Inactive, Female, 2-1-12
185, Murial, Strut ,Inactive, Female, 2-1-18
19, Regan, Danelut ,Inactive, Male, 2-1-24
342, Adel, Di Filippo ,Inactive, Female, 2-1-32
422, Rahal, Cordelette ,Inactive, Female, 2-1-36
273, Shel, Gravet ,Inactive, Female, 2-10-20
332, Angelina, Speak ,Inactive, Female, 2-10-20
213, Jewel, Tewkesberrie ,Inactive, Female, 2-11-10
472, Wren, Murrish ,Inactive, Female, 2-11-18
607, Tate, Huthart ,Inactive, Male, 2-11-21
477, Verney, Lackner ,Inactive, Male, 2-11-34
49, Con, Laurentin ,Inactive, Female, 2-11-7
346, Hillel, Everiss ,Inactive, Male, 2-12-12
255, Cornell, Viccary ,Inactive, Male, 2-2-10
204, Neddie, Crawshaw ,Inactive, Male, 2-2-22
394, Thorn, O'Moylan ,Inactive, Male, 2-2-31
477, Cinderella, Going ,Inactive, Female, 2-2-7
76, Sydney, Seleway ,Inactive, Male, 2-9-21
44, Carter, Dockery ,Inactive, Male, 2-9-23
4, Corrinne, Newbury ,Inactive, Female, 2-9-26
134, Maynord, Medina ,Inactive, Male, 2-9-30
521, Page, Shilladay ,Inactive, Male, 2-9-30
214, Wolf, Leddie ,Inactive, Male, 2-9-7
23, Kennan, Marten ,Inactive, Male, 3-10-21
326, Tye, Fandrich ,Inactive, Male, 3-10-22
131, Morse, Wiggam ,Inactive, Male, 3-10-23
11, Isa, Colbran ,Inactive, Female, 3-10-31
324, Bobbye, Castle ,Inactive, Female, 3-12-17
789, Coletta, McBean ,Inactive, Female, 3-12-23
828, Redford, Jinda ,Inactive, Male, 3-4-12
789, Si, Hickinbottom ,Inactive, Male, 3-4-20
235, Liv, Kears ,Inactive, Female, 3-6-16
647, Amos, Pinks ,Inactive, Male, 3-6-28
506, Shelby, Pearmine ,Inactive, Female, 4-3-13
287, Conan, Constable ,Inactive, Male, 4-3-17
938, Sean, Standbridge ,Inactive, Male, 4-4-15
100, Rowney, Stockill ,Inactive, Male, 4-5-12
368, Marvin, Kincey ,Inactive, Male, 4-7-13
112, Brok, Bette ,Inactive, Male, 4-7-16
317, Clyve, Crocombe ,Inactive, Male, 4-7-21
467, Lydon, Cristofol ,Inactive, Male, 4-7-24
370, Leanna, Kersey ,Inactive, Female, 4-7-29
775, Aron, McKellar ,Inactive, Male, 4-7-32
565, Benita, Hort ,Inactive, Female, 4-8-13
31, Leo, Janus ,Inactive, Male, 4-8-20
73, Langsdon, Kernock ,Inactive, Male, 5-3-11
230, Crawford, Lummus ,Inactive, Male, 5-3-15
292, Tate, Fynn ,Inactive, Male, 5-3-18
864, Evangelia, Myatt ,Inactive, Female, 5-5-15
627, Tommie, Swindles ,Inactive, Male, 5-5-22
254, Clary, Winscum ,Inactive, Female, 5-5-34
96, Robin, Wilber ,Inactive, Male, 5-5-7
218, Daryl, Capener ,Inactive, Male, 5-7-26
194, Asher, Innot ,Inactive, Male, 5-7-27
414, Keefe, Dalliwater ,Inactive, Male, 5-7-7
962, Mickie, Slegg ,Inactive, Male, 5-8-26
424, Zollie, Narey ,Inactive, Male, 1-1-17
331, Randolph, Benduhn ,Inactive, Male, 1-1-9
354, Ainsley, Ackermann ,Inactive, Female, 1-11-32
799, Archibald, Carlet ,Inactive, Male, 1-11-8
617, Heath, Seckington ,Inactive, Female, 1-2-13
509, Demetre, Zaple ,Inactive, Male, 1-2-25
643, Wheeler, Martinet ,Inactive, Male, 1-2-25
280, Calley, Eustanch ,Inactive, Female, 2-1-10
548, Mia, Garraway ,Inactive, Female, 2-1-12
185, Murial, Strut ,Inactive, Female, 2-1-18
19, Regan, Danelut ,Inactive, Male, 2-1-24
342, Adel, Di Filippo ,Inactive, Female, 2-1-32
422, Rahal, Cordelette ,Inactive, Female, 2-1-36
273, Shel, Gravet ,Inactive, Female, 2-10-20
332, Angelina, Speak ,Inactive, Female, 2-10-20
213, Jewel, Tewkesberrie ,Inactive, Female, 2-11-10
472, Wren, Murrish ,Inactive, Female, 2-11-18
607, Tate, Huthart ,Inactive, Male, 2-11-21
477, Verney, Lackner ,Inactive, Male, 2-11-34
49, Con, Laurentin ,Inactive, Female, 2-11-7
346, Hillel, Everiss ,Inactive, Male, 2-12-12
255, Cornell, Viccary ,Inactive, Male, 2-2-10
204, Neddie, Crawshaw ,Inactive, Male, 2-2-22
394, Thorn, O'Moylan ,Inactive, Male, 2-2-31
477, Cinderella, Going ,Inactive, Female, 2-2-7
76, Sydney, Seleway ,Inactive, Male, 2-9-21
44, Carter, Dockery ,Inactive, Male, 2-9-23
4, Corrinne, Newbury ,Inactive, Female, 2-9-26
134, Maynord, Medina ,Inactive, Male, 2-9-30
521, Page, Shilladay ,Inactive, Male, 2-9-30
214, Wolf, Leddie ,Inactive, Male, 2-9-7
23, Kennan, Marten ,Inactive, Male, 3-10-21
326, Tye, Fandrich ,Inactive, Male, 3-10-22
131, Morse, Wiggam ,Inactive, Male, 3-10-23
11, Isa, Colbran ,Inactive, Female, 3-10-31
324, Bobbye, Castle ,Inactive, Female, 3-12-17
789, Coletta, McBean ,Inactive, Female, 3-12-23
828, Redford, Jinda ,Inactive, Male, 3-4-12
789, Si, Hickinbottom ,Inactive, Male, 3-4-20
235, Liv, Kears ,Inactive, Female, 3-6-16
647, Amos, Pinks ,Inactive, Male, 3-6-28
506, Shelby, Pearmine ,Inactive, Female, 4-3-13
287, Conan, Constable ,Inactive, Male, 4-3-17
938, Sean, Standbridge ,Inactive, Male, 4-4-15
100, Rowney, Stockill ,Inactive, Male, 4-5-12
368, Marvin, Kincey ,Inactive, Male, 4-7-13
112, Brok, Bette ,Inactive, Male, 4-7-16
317, Clyve, Crocombe ,Inactive, Male, 4-7-21
467, Lydon, Cristofol ,Inactive, Male, 4-7-24
370, Leanna, Kersey ,Inactive, Female, 4-7-29
775, Aron, McKellar ,Inactive, Male, 4-7-32
565, Benita, Hort ,Inactive, Female, 4-8-13
31, Leo, Janus ,Inactive, Male, 4-8-20
73, Langsdon, Kernock ,Inactive, Male, 5-3-11
230, Crawford, Lummus ,Inactive, Male, 5-3-15
292, Tate, Fynn ,Inactive, Male, 5-3-18
864, Evangelia, Myatt ,Inactive, Female, 5-5-15
627, Tommie, Swindles ,Inactive, Male, 5-5-22
254, Clary, Winscum ,Inactive, Female, 5-5-34
96, Robin, Wilber ,Inactive, Male, 5-5-7
218, Daryl, Capener ,Inactive, Male, 5-7-26
194, Asher, Innot ,Inactive, Male, 5-7-27
414, Keefe, Dalliwater ,Inactive, Male, 5-7-7
962, Mickie, Slegg ,Inactive, Male, 5-8-26
424, Zollie, Narey ,Inactive, Male, 1-1-17
331, Randolph, Benduhn ,Inactive, Male, 1-1-9
354, Ainsley, Ackermann ,Inactive, Female, 1-11-32
799, Archibald, Carlet ,Inactive, Male, 1-11-8
617, Heath, Seckington ,Inactive, Female, 1-2-13
509, Demetre, Zaple ,Inactive, Male, 1-2-25
643, Wheeler, Martinet ,Inactive, Male, 1-2-25
280, Calley, Eustanch ,Inactive, Female, 2-1-10
548, Mia, Garraway ,Inactive, Female, 2-1-12
185, Murial, Strut ,Inactive, Female, 2-1-18
19, Regan, Danelut ,Inactive, Male, 2-1-24
342, Adel, Di Filippo ,Inactive, Female, 2-1-32
422, Rahal, Cordelette ,Inactive, Female, 2-1-36
273, Shel, Gravet ,Inactive, Female, 2-10-20
332, Angelina, Speak ,Inactive, Female, 2-10-20
213, Jewel, Tewkesberrie ,Inactive, Female, 2-11-10
472, Wren, Murrish ,Inactive, Female, 2-11-18
607, Tate, Huthart ,Inactive, Male, 2-11-21
477, Verney, Lackner ,Inactive, Male, 2-11-34
49, Con, Laurentin ,Inactive, Female, 2-11-7
346, Hillel, Everiss ,Inactive, Male, 2-12-12
255, Cornell, Viccary ,Inactive, Male, 2-2-10
204, Neddie, Crawshaw ,Inactive, Male, 2-2-22
394, Thorn, O'Moylan ,Inactive, Male, 2-2-31
477, Cinderella, Going ,Inactive, Female, 2-2-7
76, Sydney, Seleway ,Inactive, Male, 2-9-21
44, Carter, Dockery ,Inactive, Male, 2-9-23
4, Corrinne, Newbury ,Inactive, Female, 2-9-26
134, Maynord, Medina ,Inactive, Male, 2-9-30
521, Page, Shilladay ,Inactive, Male, 2-9-30
214, Wolf, Leddie ,Inactive, Male, 2-9-7
23, Kennan, Marten ,Inactive, Male, 3-10-21
326, Tye, Fandrich ,Inactive, Male, 3-10-22
131, Morse, Wiggam ,Inactive, Male, 3-10-23
